                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.81535,                 0.4084,                0.79839,                0.90812,                0.79287,                0.83516,                0.57637,                0.74757,                0.39799,                0.80278,             0.00034663,             0.00034663,             0.00034663
                     75,                0.81356,                0.40318,                0.79123,                0.86165,                0.79924,                0.82653,                0.57767,                0.75814,                0.40248,                 0.8054,             0.00033425,             0.00033425,             0.00033425
                     76,                0.78255,                0.39386,                0.79317,                0.86133,                    0.8,                0.82269,                0.57916,                0.74142,                0.38813,                0.80067,             0.00032188,             0.00032188,             0.00032188
                     77,                 0.7822,                0.39163,                0.79265,                0.91518,                0.75623,                0.82097,                0.57759,                 0.7605,                0.39792,                0.80201,              0.0003095,              0.0003095,              0.0003095
                     78,                0.79416,                0.39678,                0.79198,                0.91959,                0.74604,                0.81369,                0.56323,                0.73213,                0.39203,                0.79826,             0.00029713,             0.00029713,             0.00029713
                     79,                 0.7973,                0.39928,                0.79296,                0.91302,                0.73846,                0.81634,                0.56484,                0.75387,                0.40458,                 0.7989,             0.00028475,             0.00028475,             0.00028475
                     80,                 0.7934,                0.40126,                0.79122,                0.90249,                0.76754,                0.82884,                0.57111,                0.74087,                0.38449,                0.79932,             0.00027237,             0.00027237,             0.00027237
                     81,                0.76932,                0.38582,                0.79252,                0.88658,                0.78059,                0.83262,                0.57632,                0.73435,                0.38325,                0.79977,                0.00026,                0.00026,                0.00026
                     82,                0.77988,                0.38377,                0.79043,                0.87821,                0.77472,                0.82854,                0.57685,                0.71931,                0.38476,                0.79809,             0.00024762,             0.00024762,             0.00024762
                     83,                0.77117,                0.38035,                0.78854,                0.90186,                0.75547,                0.81934,                0.58217,                0.71967,                 0.3861,                0.79801,             0.00023525,             0.00023525,             0.00023525
                     84,                0.77069,                0.38192,                0.79167,                 0.8883,                0.78338,                0.81692,                0.57549,                0.72573,                0.37598,                0.79925,             0.00022288,             0.00022288,             0.00022288
                     85,                0.77195,                0.37931,                0.79087,                0.88557,                0.78086,                0.82645,                0.57996,                0.72444,                0.37181,                0.79847,              0.0002105,              0.0002105,              0.0002105
                     86,                0.75864,                0.37523,                0.79171,                0.85292,                0.78904,                0.82595,                0.58841,                0.71258,                0.37295,                 0.7979,             0.00019813,             0.00019813,             0.00019813
                     87,                0.77334,                0.37899,                0.79178,                 0.8705,                0.78364,                0.82836,                0.58322,                0.71725,                0.37556,                0.79792,             0.00018575,             0.00018575,             0.00018575
                     88,                0.76828,                0.37672,                0.79023,                0.87496,                0.79419,                0.82131,                 0.5743,                 0.7274,                0.38106,                0.79917,             0.00017338,             0.00017338,             0.00017338
                     89,                0.76706,                0.37649,                0.78998,                0.87252,                0.77715,                0.81736,                0.58855,                0.71544,                0.38005,                0.79827,               0.000161,               0.000161,               0.000161
                     90,                0.75281,                0.37056,                0.79163,                0.87087,                0.78443,                0.82343,                0.58802,                0.71909,                0.37609,                0.79837,             0.00014862,             0.00014862,             0.00014862
                     91,                0.70741,                0.35488,                0.78695,                0.88693,                0.77631,                0.81766,                0.58813,                0.71104,                0.36911,                0.79664,             0.00013625,             0.00013625,             0.00013625
                     92,                0.68555,                0.34626,                0.79092,                0.89485,                0.77745,                0.82032,                0.58156,                0.72581,                0.37146,                0.79798,             0.00012387,             0.00012387,             0.00012387
                     93,                0.68962,                0.34756,                0.78737,                0.89798,                0.77136,                0.82745,                0.58986,                0.70553,                0.36485,                0.79706,              0.0001115,              0.0001115,              0.0001115
                     94,                0.66196,                0.33781,                0.78995,                0.94964,                0.75262,                0.82167,                 0.5903,                0.71006,                0.36341,                0.79703,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.67423,                0.34084,                0.78825,                 0.9078,                0.77239,                0.82364,                0.58504,                0.72811,                0.37871,                0.79839,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.67021,                0.34183,                0.78423,                0.91345,                 0.7481,                0.81383,                 0.5798,                0.71244,                0.37348,                0.79722,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.67909,                 0.3441,                0.78488,                 0.9171,                0.75505,                0.81385,                 0.5838,                0.71121,                0.37484,                0.79695,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.66134,                 0.3374,                 0.7873,                0.91218,                0.75677,                0.81513,                0.58612,                0.70697,                0.36949,                0.79666,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                 0.6524,                0.33105,                0.78742,                0.90283,                 0.7662,                0.81678,                0.58286,                0.70868,                0.37026,                0.79712,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.66772,                0.33624,                0.78832,                0.89675,                0.77511,                0.81659,                0.58905,                0.70442,                0.36603,                 0.7963,             2.4875e-05,             2.4875e-05,             2.4875e-05
